municipio,estado,bioma,latitude,longitude,frp_previsto,risco,semana_sin,semana_cos,precipitacao_total,dias_sem_chuva_max
MAGDA,SÃO PAULO,Mata Atlântica,-20.61348672777778,-50.20501054444445,23.76032,Alto,0.12053668025532308,-0.992708874098054,2.3084000000000002,12.12
MAGÉ,RIO DE JANEIRO,Mata Atlântica,-22.63454774566474,-43.139668208092495,5.6374493,Médio,0.12053668025532308,-0.992708874098054,0.9096000000000001,0.0
MAIQUINIQUE,BAHIA,Mata Atlântica,-15.659792880258903,-40.27433724919095,14.908761,Alto,0.12053668025532308,-0.992708874098054,0.8970833333333333,24.625
MAIRI,BAHIA,Caatinga,-11.736747159763313,-40.21450850098621,11.146922,Alto,0.12053668025532308,-0.992708874098054,0.4815929203539823,29.238938053097346
MAIRIPORÃ,SÃO PAULO,Mata Atlântica,-23.300914897321434,-46.55066741815476,2.7365248,Baixo,0.12053668025532308,-0.992708874098054,2.586103896103896,9.38961038961039
MAIRIPOTABA,GOIÁS,Cerrado,-17.320074444685464,-49.43422236225595,19.573677,Alto,0.12053668025532308,-0.992708874098054,1.6936842105263157,35.526315789473685
MAJOR GERCINO,SANTA CATARINA,Mata Atlântica,-27.436484424778758,-49.080338141592925,4.9459977,Médio,0.12053668025532308,-0.992708874098054,1.7525641025641023,5.461538461538462
MAJOR ISIDORO,ALAGOAS,Caatinga,-9.567112766712143,-36.99534013915415,16.024797,Alto,0.12053668025532308,-0.992708874098054,9.07663043478261,15.58695652173913
MAJOR SALES,RIO GRANDE DO NORTE,Caatinga,-6.413190752688172,-38.325626881720424,12.914591,Alto,0.12053668025532308,-0.992708874098054,0.113,42.0
MAJOR VIEIRA,SANTA CATARINA,Mata Atlântica,-26.487383918918916,-50.35577337837839,7.462828,Médio,0.12053668025532308,-0.992708874098054,2.9083333333333337,6.185185185185185
MALACACHETA,MINAS GERAIS,Mata Atlântica,-17.853279512867637,-42.16711957444852,15.087557,Alto,0.12053668025532308,-0.992708874098054,6.624361702127659,28.872340425531913
MALHADA,BAHIA,Cerrado,-14.1598209824,-43.64235897631999,19.66347,Alto,0.12053668025532308,-0.992708874098054,10.65578947368421,33.6390977443609
MALHADA DE PEDRAS,BAHIA,Caatinga,-14.348372942366026,-41.82903061779574,11.948243,Alto,0.12053668025532308,-0.992708874098054,2.5953846153846154,31.759615384615383
MALHADA DOS BOIS,SERGIPE,Mata Atlântica,-10.357666851851853,-36.93419651851852,15.608355,Alto,0.12053668025532308,-0.992708874098054,1.115,27.6
MALHADOR,SERGIPE,Mata Atlântica,-10.676439714285712,-37.26759642857144,9.415082,Médio,0.12053668025532308,-0.992708874098054,0.28074074074074074,13.11111111111111
MALLET,PARANÁ,Mata Atlântica,-25.888799751773057,-50.85321212765957,6.970059,Médio,0.12053668025532308,-0.992708874098054,2.95859375,5.625
MALTA,PARAÍBA,Caatinga,-6.8595603311258255,-37.52359762251656,13.137742,Alto,0.12053668025532308,-0.992708874098054,2.0298039215686274,18.58823529411765
MAMANGUAPE,PARAÍBA,Caatinga,-6.746750999999999,-35.22273345000001,19.358046,Alto,0.12053668025532308,-0.992708874098054,1.8147747747747747,25.38738738738739
