municipio,estado,bioma,latitude,longitude,municipio_y,probabilidade,semana,precipitacao_total,dias_sem_chuva_max
SANTO ANTÔNIO DO DESCOBERTO,GOIÁS,Cerrado,-15.961273333333331,-48.286502222222225,3386,0.98370045,25,27.96796302609008,36.166666666666664
SANTO ANTÔNIO DO ITAMBÉ,MINAS GERAIS,Mata Atlântica,-18.475456666666666,-43.36622666666667,3387,0.9780276,25,40.02586852603165,51.75
SANTO ANTÔNIO DO IÇÁ,AMAZONAS,Amazônia,-3.036204666666667,-68.54226266666666,3388,0.008930988,25,33.50389084021892,1.25
SANTO ANTÔNIO DO JARDIM,SÃO PAULO,Mata Atlântica,-22.14035,-46.73993,3389,0.9999987,25,17.614318155540182,7.5
SANTO ANTÔNIO DO LESTE,MATO GROSSO,Cerrado,-14.592129122807018,-53.54166980701755,3390,0.98264503,25,29.936272894282304,38.36842105263158
SANTO ANTÔNIO DO LEVERGER,MATO GROSSO,Cerrado,-15.988323294117647,-55.45564826470588,3391,0.9916397,25,31.340689294451636,18.034782608695654
SANTO ANTÔNIO DO LEVERGER,MATO GROSSO,Pantanal,-16.284471869415807,-55.659531453608245,3391,0.9916397,25,31.340689294451636,18.034782608695654
SANTO ANTÔNIO DO MONTE,MINAS GERAIS,Cerrado,-20.030686666666668,-45.28125,3392,0.98066,25,31.416036804189513,5.5
SANTO ANTÔNIO DO MONTE,MINAS GERAIS,Mata Atlântica,-20.30623,-45.37445,3392,0.98066,25,31.416036804189513,5.5
SANTO ANTÔNIO DO PARAÍSO,PARANÁ,Mata Atlântica,-23.51643,-50.64891,3393,0.99999857,25,14.320418780587056,4.0
SANTO ANTÔNIO DO RETIRO,MINAS GERAIS,Mata Atlântica,-15.15869,-42.69796,3394,0.99999833,25,18.03310904817907,6.0
SANTO ANTÔNIO DO RIO ABAIXO,MINAS GERAIS,Mata Atlântica,-19.24185,-43.29756,3395,0.99999833,25,14.483664799146485,4.5
SANTO ANTÔNIO DO TAUÁ,PARÁ,Amazônia,-1.1112083333333334,-48.12963416666667,3396,0.9949108,25,30.88899399019778,3.3636363636363638
SANTO ANTÔNIO DOS LOPES,MARANHÃO,Cerrado,-4.807877027027027,-44.49809972972973,3397,0.99049103,25,25.626158189781272,5.546875
SANTO ANTÔNIO DOS MILAGRES,PIAUÍ,Caatinga,-6.0572099999999995,-42.696644000000006,3398,0.9702968,25,30.93125218442716,13.625
SANTO ESTÊVÃO,BAHIA,Caatinga,-12.47983,-39.340415,3399,0.9753635,25,32.73622412412097,9.0
SANTO ESTÊVÃO,BAHIA,Mata Atlântica,-12.40363,-39.21262,3399,0.9753635,25,32.73622412412097,9.0
SANTO HIPÓLITO,MINAS GERAIS,Cerrado,-18.4428,-44.10891375,3400,0.96553403,25,37.152170651324624,11.714285714285714
SANTO INÁCIO,PARANÁ,Mata Atlântica,-22.784845,-51.8036325,3401,0.0004691851,25,33.74276285659292,1.75
SANTO INÁCIO DO PIAUÍ,PIAUÍ,Caatinga,-7.4490840625,-42.0206884375,3402,0.9833009,25,30.463605493558347,16.574074074074073
SANTOS DUMONT,MINAS GERAIS,Mata Atlântica,-21.482665,-43.6033,3403,0.980924,25,29.297175534788998,18.7
SAPEZAL,MATO GROSSO,Cerrado,-13.537301703056768,-58.5055322838428,3404,0.9924452,25,32.15034766122016,20.662921348314608
SAPIRANGA,RIO GRANDE DO SUL,Mata Atlântica,-29.58737,-51.03289,3405,0.0004047812,25,46.65432083923748,2.5
SAPOPEMA,PARANÁ,Mata Atlântica,-23.86001,-50.72338,3406,0.9506945,25,19.850170359728324,3.0
SAPUCAIA,PARÁ,Amazônia,-6.839846666666667,-49.49754333333333,3407,0.9919408,25,36.640100460893784,5.7
SAPUCAIA,RIO DE JANEIRO,Mata Atlântica,-21.915615000000003,-42.725535,3407,0.9919408,25,36.640100460893784,5.7
SAPUCAIA DO SUL,RIO GRANDE DO SUL,Pampa,-29.81366,-51.1771,3408,0.9934469,25,26.42074814017804,3.5
SAPÉ,PARAÍBA,Caatinga,-7.03107,-35.25608,3409,0.986048,25,26.1389260075977,13.8
SAPÉ,PARAÍBA,Mata Atlântica,-7.064366666666667,-35.18084555555556,3409,0.986048,25,26.1389260075977,13.8
SAQUAREMA,RIO DE JANEIRO,Mata Atlântica,-22.88416583333333,-42.530265,3410,0.9884144,25,29.34850927971499,6.55
